Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_XY_5,neg_XY_4,neg_XY_6,neg_XY_3,neg_XY_1,neg_XY_7,neg_XY_2
Com_57_neg,cis-gondoic acid,C20 H38 O2,310.28722,11.492,309.28,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,10270975.15,9699243.942,9859340.937,16059926.58,8652549.486,16207343.66,10857498.08
Com_58_neg,3-Hydroxydecanoic acid,C10 H20 O3,188.14137,6.067,187.13409,Full match,Partial match,Full match,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,1730918.227,2275440.885,2441962.55,1917153.591,25254153.57,27210526.63,2467033.372
Com_59_neg,Salvinorin A,C23 H28 O8,432.17162,9.524,431.16422,No results,Invalid mass,No results,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,Diterpene lactones,2147060.601,1721641.929,2989068.078,3711616.001,2534611.828,2373219.533,3153041.437
Com_60_neg,3-(3-Methoxyphenyl)propionic acid,C10 H12 O3,180.07892,5.409,179.07164,No results,No results,Full match,,,,,120113606.7,115221478.2,62412807.86,120206903.3,72063788.9,79500898.88,129241133.2
Com_61_neg,Hydroquinone,C6 H6 O2,110.03691,5.516,109.02963,No results,No results,Full match,Benzenoids,Phenols,Benzenediols,Hydroquinones,6495094.12,3585113.946,3317935.858,3652495.185,4742359.407,4283829.879,4132937.98
Com_62_neg,Deoxycholic acid,C24 H40 O4,392.29046,10.25,391.28314,Invalid mass,No results,No results,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",77334871.59,38905973.49,39483780.17,70301170.86,119992276.6,175193381.7,33029325.04
Com_63_neg,FAHFA (18:1/19:2),C37 H66 O4,574.49416,10.702,573.48694,No results,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids,566621.9866,1437006.533,3745353.394,1607546.7,915639.5976,982572.4772,1334180.817
Com_64_neg,N-acetyl-D-glucosamine,C8 H15 N O6,221.08995,1.393,220.08298,No results,No results,Full match,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Acylaminosugars,25465616.73,33686653.46,236417654.6,41530044.79,17648722.69,19562016.94,28594890.01
Com_65_neg,Undecanedioic acid,C11 H20 O4,216.13622,6.026,215.12892,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,7106022.73,8123042.193,1815047.016,7777786.817,742120.6722,2300052.862,7713020.208
Com_66_neg,Traumatic acid,C12 H20 O4,228.13635,5.955,227.12906,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,207803594.1,404133758.8,128425977,208425515,20036327.42,117715730.6,201437446.7
Com_67_neg,Oxazepam,C15 H11 Cl N2 O2,286.04833,5.482,285.04166,No results,Invalid mass,No results,Organoheterocyclic compounds,Benzodiazepines,"1,4-benzodiazepines","1,4-benzodiazepines",3829103.617,3970527.253,10126827.5,6365938.049,6243351.237,8426810.244,4900974.505
Com_68_neg,Myristic Acid,C14 H28 O2,228.209,9.527,227.20171,Full match,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,27189651.81,19761882.49,63644516.52,57769438.13,23408731.13,36903351.72,40304003.36
