Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_HZ_1,neg_HZ_2,neg_HZ_3,neg_HZ_4,neg_HZ_5,neg_HZ_6,neg_HZ_7,neg_HZ_8,neg_HZ_9,neg_HZ_10,,,,,,,
Com_68_neg,Myristic Acid,C14 H28 O2,228.209,9.527,227.20171,Full match,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,1088335.49,3103227.048,4747429.977,1990366.737,1390340.444,2013711.157,1236285.44,1507608.89,3327617.189,993923.398,,,,,,,
Com_69_neg,N-Acetyl-Dl-glutamic acid,C7 H11 N O5,189.06359,1.578,188.05638,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glutamic acid and derivatives,1849122.483,1410940.497,4345686.107,2132775.675,1589802.307,1209390.751,1099939.897,982377.0979,4848554.953,1643079.257,,,,,,,
Com_70_neg,Nonadecanoic acid,C19 H38 O2,298.28733,11.724,297.28012,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,1863693.911,3421550.065,3586571.054,1545712.997,1966437.682,2849353.874,1926262.745,2785339.368,1024323.104,387371.123,,,,,,,
Com_71_neg,Adrenosterone,C19 H24 O3,300.17254,6.033,299.16537,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,1848438.019,2986003.963,3352162.706,3203587.761,2879078.229,2686422.758,1361146.899,1576542.941,2774104.422,2557276.748,,,,,,,
Com_72_neg,Sodium Dehydrocholate,C24 H33 Na O5,424.2208,9.017,423.21347,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Bile acids, alcohols and derivatives",295614.9794,1610699.732,3249932.71,798926.8244,669398.4065,805152.4766,821419.5041,563191.9117,859328.9491,404834.1017,,,,,,,
Com_73_neg,Citric acid,C6 H8 O7,146.02165,1.585,145.01425,No results,Invalid mass,No match,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,1450638.082,716273.5613,2283303.571,1532716.979,1477181.43,2799781.135,2935151.677,842378.689,1824158.783,1561674.049,,,,,,,
Com_74_neg,Dithranol,C14 H10 O3,226.06313,5.922,225.05583,No results,No results,Full match,Benzenoids,Anthracenes,Not available,Anthracenes,2986274.097,2739437.057,2379195.609,2814265.114,2538515.783,2638724.427,1629390.437,1804134.145,2377101.623,2800526.213,,,,,,,
Com_75_neg,Spiculisporic Acid,C17 H28 O6,328.18879,6.019,327.18134,No results,No results,Full match,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,2443386.937,731719.0598,2350146.981,1004982.704,1093933.914,1102132.235,1455890.576,2642069.466,865772.7251,2406556.487,,,,,,,
Com_76_neg,lithocholic acid,C24 H40 O3,376.2977,10.134,375.29031,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Monohydroxy bile acids, alcohols and derivatives",210832.0589,1361534.197,2598429.943,371139.6027,431185.0267,312378.8709,607265.5647,460193.1484,746454.4451,368049.8055,,,,,,,
Com_77_neg,2-Hydroxy-3-methylbutanoic acid,C5 H10 O3,118.06326,5.209,117.05598,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Hydroxy fatty acids,1912474.095,1240147.9,1785134.856,1304358.867,1577094.406,1754848.603,1258407.704,2201450.633,1696123.008,2075718.053,,,,,,,
